_amount,_duration,reward
429918800000000000000,604800,5459273200848642222923
722980000000000000000,604800,9180676301547062736518
830824600000000000000,604800,10550128241393009182250
409605900000000000000,604800,5201332234783612305183
834377900000000000000,604800,10595249402562456717078
978766100000000000000,604800,12428745939068359512779
623437300000000000000,604800,7916645060182144202242
143490100000000000000,604800,1822092119528366187544
981563900000000000000,604800,12464273472549878188724
291155500000000000000,604800,3697203793901748075608
852207100000000000000,604800,10821651396968308733563
304960600000000000000,604800,3872506228838381670491
59857300000000000000,604800,760090867775862399363
949634800000000000000,604800,12058825560159872488350
530307000000000000000,604800,6734040924291845138587
517393200000000000000,604800,6570056557334365735659
192887300000000000000,604800,2449356640542475246166
461133900000000000000,604800,5855654468408494112144
48769700000000000000,604800,619296286236908054465
139811600000000000000,604800,1775381120918112970924
826842900000000000000,604800,10499567093325469361789
663900700000000000000,604800,8430464775056718073685
728159300000000000000,604800,9246445032035600042629
87863800000000000000,604800,1115728106481328405327
140478700000000000000,604800,1783852211627070404611
891857900000000000000,604800,11325152406536183743029
128139400000000000000,604800,1627163065194693754744
776058800000000000000,604800,9854691186155981701617
844771100000000000000,604800,10727226227560712453425
39114900000000000000,604800,496695946592413626443
159187000000000000000,604800,2021417353750272864465
481255800000000000000,604800,6111170043489547310597
598030200000000000000,604800,7594015995946568697594
926194300000000000000,604800,11761169134191776657208
728468900000000000000,604800,9250376451138423039670
711817400000000000000,604800,9038929341349478787989
839212200000000000000,604800,10656637191221297853374
730597500000000000000,604800,9277406227308542652888
208921400000000000000,604800,2652963769213580614560
987927200000000000000,604800,12545077087462648146758
988139200000000000000,604800,12547769144471041155115
280049800000000000000,604800,3556179371646511119334
320946100000000000000,604800,4075496216138695055382
546981500000000000000,604800,6945780096869435800970
621425500000000000000,604800,7891098455043063755983
31295200000000000000,604800,397398407967268303017
582468300000000000000,604800,7396405043310195305090
373419700000000000000,604800,4741826039891578885780
504501900000000000000,604800,6406357903974475213026
49557800000000000000,604800,629303881181787913190
660755000000000000000,604800,8390519474437369551555
212670200000000000000,604800,2700567464086522643676
695353600000000000000,604800,8829865717883531553577
587126600000000000000,604800,7455557916716785642294
921977900000000000000,604800,11707627675841831935932
611037300000000000000,604800,7759185121955383326369
428349100000000000000,604800,5439340550442630404756
26512800000000000000,604800,336669665340198849595
728943200000000000000,604800,9256399293775596643275
475865800000000000000,604800,6042725763889366575190
335647500000000000000,604800,4262180210965058147626
745341000000000000000,604800,9464624824021949828029
343315600000000000000,604800,4359552674861560169132
474442700000000000000,604800,6024654696301422752210
677395200000000000000,604800,8601823092508413609385
576319800000000000000,604800,7318329040875740527025
283148300000000000000,604800,3595525308630028747078
301723900000000000000,604800,3831405375446562563717
236817500000000000000,604800,3007199106533543845442
552254300000000000000,604800,7012736126085731345092
218691100000000000000,604800,2777023152963095592665
509764500000000000000,604800,6473184409693197131520
419894400000000000000,604800,5331979539174421117074
880727900000000000000,604800,11183819413595550795666
103869200000000000000,604800,1318970791585731511065
109214600000000000000,604800,1386848723343580510210
208784800000000000000,604800,2651229170216663231512
338601900000000000000,604800,4299696311085795432223
107609400000000000000,604800,1366465280372484014508
198047200000000000000,604800,2514879022417980363164
214681200000000000000,604800,2726103910519911041282
888499500000000000000,604800,11282506160040961668646
353241100000000000000,604800,4485590466544601707236
110480500000000000000,604800,1402923605263036686722
83449300000000000000,604800,1059671098634390027667
342473500000000000000,604800,4348859367282466997170
989586400000000000000,604800,12566146243067957957021
79231700000000000000,604800,1006114402225907230762
740192500000000000000,604800,9399247203702556410963
684702500000000000000,604800,8694613980137801492225
568905200000000000000,604800,7224175616845406560283
634390500000000000000,604800,8055732979164834300536
966510700000000000000,604800,12273122186895436510461
789447600000000000000,604800,10024707284618115250721
470205000000000000000,604800,5970842762412427222295
549234200000000000000,604800,6974385742260034529081
937894100000000000000,604800,11909737665261571567821
690032500000000000000,604800,8762296356811078546846
823335000000000000000,604800,10455022438704045613201
775500000000000000,604800,9847595330230084488
