_amount,_duration,reward
737527400000000000000,3599180,19082556199585147519706
348351700000000000000,23628956,388470691199794328724819
329806200000000000000,14797521,144240760151674398327266
106443900000000000000,27447454,160168152808956680544115
246689300000000000000,19198594,181610276037498576478827
97362900000000000000,7664460,11423728737070490112668
754782900000000000000,19631467,581003592741621631649124
889649200000000000000,9875595,173299213479913640497976
94871300000000000000,9431268,16854903892653416892046
768701100000000000000,18244243,511046543887774246091134
345839900000000000000,11398914,89753895726050330153480
923321600000000000000,10945630,220945814627531694728689
896255600000000000000,25667578,1179377722416488139634592
161549200000000000000,27460275,243313290961555209042586
250551400000000000000,27105864,367683889026189715038620
606626600000000000000,18143603,398859348644842908962776
83395200000000000000,21715203,78545281165388417074357
966093100000000000000,8164494,128626006339590313541250
430338000000000000000,25368568,553162664497387338449019
330833200000000000000,28519860,537471105041119258359199
992744600000000000000,9849000,192341529470382175419624
462349900000000000000,30444498,855932781106011370707991
689004700000000000000,16693576,383506031508806898564799
41984200000000000000,5328905,2381294424315603546419
487995400000000000000,17972923,314850518238719216557827
285138000000000000000,15251134,132467893349360089200165
953865000000000000000,28973332,1599318851272385253099266
155135900000000000000,31310855,303775972832798709751590
46813900000000000000,19166474,34348717695582160718783
222423000000000000000,4677965,9721759816168519119335
191246200000000000000,16832297,108225809401607882303034
77171200000000000000,28353918,123917507240113683069315
405052400000000000000,7719728,48213256202443472867913
520569700000000000000,5616061,32793953438036747170701
267176800000000000000,22049304,259441693970017194960803
998136000000000000000,11478468,262669006939199622160961
5425000000000000000,18648851,3768384054753242872889
674473700000000000000,27143628,992549251167380062037432
758569600000000000000,28340231,1216895997648131499777426
65917800000000000000,22450127,66357736800158955663111
784355300000000000000,28685583,1289114383035541390226205
718263900000000000000,22043780,697119822921539079427417
4262200000000000000,13236033,1491422752246785323662
323850500000000000000,28101094,510789879902527579571318
224482500000000000000,23480819,247206695252378781528490
299426700000000000000,20174797,243422168989386756794411
130170900000000000000,18685958,90781196223295081479573
660539600000000000000,17473488,402818425971834433045040
391567100000000000000,8996523,63300456307125670583198
241327300000000000000,31152274,467775227759715194523445
653368300000000000000,24934053,811325400920971739925096
507867800000000000000,26239306,698403848406280732254370
716903900000000000000,7806977,87272617101132455356735
597010300000000000000,11572411,159691124707799667212992
788110000000000000000,23453363,865861333271772565379678
752643300000000000000,9172553,126479726102320303651433
806683400000000000000,10861098,190064865075175007470488
566756200000000000000,15877211,285361887780954094125719
307944800000000000000,25150611,389064147386220602748858
643449900000000000000,5642977,40924422051501547434778
719265000000000000000,30864354,1368530773203098285376178
577321300000000000000,11960406,164953176093765099835816
714735200000000000000,20539866,602270567445122734253686
842819600000000000000,12652986,269508172132141945735625
301125000000000000000,9779170,57517772896817121400324
764252200000000000000,20994172,672799184411026995090116
40562800000000000000,21026032,35817380872190136986896
398079400000000000000,15555531,192393609399896486646795
645811200000000000000,9645515,120007301669798883158311
888017700000000000000,2782568,13732969383024189896287
268699600000000000000,4952932,13165671289504590721524
904413200000000000000,25147900,1142408954575145403810369
62165500000000000000,25404785,80136751889077746309238
4742500000000000000,4221440,168802874690533413620
536201800000000000000,9817047,103214631139306682078513
101509200000000000000,2888265,1691339287063541887371
47760600000000000000,6431502,3945897947729509215164
859989500000000000000,29275367,1472139961773972380209965
270594300000000000000,5215709,14702683436441270298482
497021400000000000000,30898383,947758852239574888957007
512885500000000000000,11524207,136048506658532505135364
592131700000000000000,8223352,79977408916699754132346
896175700000000000000,8185636,119935921848745065160512
660630000000000000000,27518900,999244320772647575178552
370505500000000000000,10125633,75873528448346680983951
340700300000000000000,8920636,54152113352410380011223
895337800000000000000,14626257,382564420902510647909120
366209700000000000000,23547933,405589481272269027460197
321580200000000000000,14602463,136959697087504185400204
580814000000000000000,27056551,849245398202186620550135
137871800000000000000,25982875,185909297781246064368881
1481400000000000000,22306677,1472289974134933619461
757074500000000000000,24757120,926808735948377909814825
554952000000000000000,23285977,601029247177239862464151
814441400000000000000,10117723,166523936656098255669023
916706400000000000000,29357120,1578005150462448485806353
98666700000000000000,17247334,58622698695665672299623
871336000000000000000,31195586,1693648222995472866788877
203017200000000000000,31210880,394999111169931604097973
641240700000000000000,26353462,889503554173007775873725
